time,x,y,z
8.233,-0.8958048648,-1.5416097295,1
8.234,-0.8955254333,-1.5410508666,1
8.235,-0.8952456483,-1.5404912966,1
8.236,-0.8949655099,-1.5399310198,1
8.237,-0.8946850182,-1.5393700363,1
8.238,-0.8944041732,-1.5388083464,1
8.239,-0.8941229752,-1.5382459504,1
8.24,-0.8938414242,-1.5376828483,1
8.241,-0.8935595202,-1.5371190405,1
8.242,-0.8932772636,-1.5365545272,1
8.243,-0.8929946543,-1.5359893085,1
8.244,-0.8927116924,-1.5354233848,1
8.245,-0.8924283781,-1.5348567562,1
8.246,-0.8921447115,-1.534289423,1
8.247,-0.8918606927,-1.5337213854,1
8.248,-0.8915763218,-1.5331526436,1
8.249,-0.8912915989,-1.5325831979,1
8.25,-0.8910065242,-1.5320130484,1
8.251,-0.8907210977,-1.5314421954,1
8.252,-0.8904353195,-1.5308706391,1
8.253,-0.8901491899,-1.5302983797,1
8.254,-0.8898627088,-1.5297254175,1
8.255,-0.8895758764,-1.5291517528,1
8.256,-0.8892886928,-1.5285773856,1
8.257,-0.8890011581,-1.5280023163,1
8.258,-0.8887132725,-1.527426545,1
8.259,-0.888425036,-1.5268500721,1
8.26,-0.8881364488,-1.5262728976,1
8.261,-0.887847511,-1.525695022,1
8.262,-0.8875582226,-1.5251164453,1
8.263,-0.8872685839,-1.5245371678,1
8.264,-0.8869785949,-1.5239571898,1
8.265,-0.8866882557,-1.5233765114,1
8.266,-0.8863975665,-1.5227951329,1
8.267,-0.8861065273,-1.5222130546,1
8.268,-0.8858151383,-1.5216302766,1
8.269,-0.8855233996,-1.5210467992,1
8.27,-0.8852313113,-1.5204626227,1
8.271,-0.8849388736,-1.5198777471,1
8.272,-0.8846460865,-1.5192921729,1
8.273,-0.8843529501,-1.5187059002,1
8.274,-0.8840594646,-1.5181189292,1
8.275,-0.8837656301,-1.5175312602,1
8.276,-0.8834714467,-1.5169428934,1
8.277,-0.8831769145,-1.516353829,1
8.278,-0.8828820337,-1.5157640673,1
8.279,-0.8825868043,-1.5151736085,1
8.28,-0.8822912264,-1.5145824529,1
8.281,-0.8819953003,-1.5139906006,1
8.282,-0.881699026,-1.5133980519,1
8.283,-0.8814024035,-1.5128048071,1
8.284,-0.8811054332,-1.5122108663,1
8.285,-0.8808081149,-1.5116162298,1
8.286,-0.880510449,-1.5110208979,1
8.287,-0.8802124354,-1.5104248708,1
8.288,-0.8799140743,-1.5098281487,1
8.289,-0.8796153659,-1.5092307318,1
8.29,-0.8793163102,-1.5086326204,1
8.291,-0.8790169074,-1.5080338147,1
8.292,-0.8787171575,-1.507434315,1
8.293,-0.8784170607,-1.5068341215,1
8.294,-0.8781166172,-1.5062332344,1
8.295,-0.877815827,-1.5056316539,1
8.296,-0.8775146902,-1.5050293804,1
